,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
JASA,08/23/2001,4.4,4.4,4.4,4.4,3700
JASA,08/24/2001,4.35,4.4,4.35,4.4,1000
JASA,08/27/2001,4.4,4.54,4.4,4.5,3000
JASA,08/28/2001,4.45,4.55,4.45,4.55,5900
JASA,08/29/2001,4.55,4.7,4.55,4.7,7800
JASA,08/30/2001,4.8,4.8,4.75,4.8,3300
JASA,08/31/2001,4.8,4.8,4.8,4.8,20000
JASA,09/04/2001,4.85,4.85,4.8,4.83,18500
JASA,09/05/2001,4.83,4.9,4.8,4.9,8300
JASA,09/06/2001,5,5.3,5,5.3,93000
JASA,09/07/2001,5.35,5.9,5.35,5.81,32200
JASA,09/10/2001,5.75,5.9,5.7,5.7,13000
JASA,09/17/2001,5.65,5.72,5.6,5.65,12700
JASA,09/18/2001,5.6,5.6,5.25,5.25,13200
JASA,09/19/2001,5.2,5.2,5,5.15,11700
JASA,09/20/2001,5.05,5.05,4.75,4.9,23000
JASA,09/21/2001,4.8,4.95,4.6,4.95,10700
JASA,09/24/2001,4.9,5.1,4.9,5.1,17000
JASA,09/25/2001,5.1,5.7,5.05,5.2,44600
JASA,09/26/2001,5.15,5.15,4.9,5.1,16600
JASA,09/27/2001,5.05,5.2,4.95,4.98,73700
JASA,09/28/2001,4.95,5.4,4.9,5.4,26400
JASA,10/01/2001,5.4,5.4,4.98,5,15400
JASA,10/02/2001,4.9,4.98,4.7,4.98,5600
JASA,10/03/2001,4.88,4.88,4.75,4.86,16600
JASA,10/04/2001,4.8,4.88,4.75,4.86,68700
JASA,10/05/2001,4.8,4.8,4.5,4.78,28700
JASA,10/08/2001,4.72,4.8,4.72,4.8,9500
JASA,10/09/2001,4.75,4.95,4.75,4.82,9100
JASA,10/10/2001,4.75,4.78,4.25,4.7,61200
JASA,10/11/2001,4.6,4.63,4.4,4.54,40400
JASA,10/12/2001,4.55,4.55,4.15,4.48,22300
JASA,10/15/2001,4.5,4.65,4.5,4.64,29400
